N,P,K,temperature,humidity,ph,rainfall,label
85,50,59,32.54,80.88,6.11,175.99,rice
60,44,31,23.6,62.82,5.77,290.19,rice
60,45,58,31.07,76.63,6.42,212.94,rice
71,55,45,22.38,63.6,6.01,163.77,rice
89,43,59,30.55,74.23,5.65,223.74,rice
98,33,30,26.97,79.49,5.57,292.37,rice
95,31,49,25.62,78.78,6.25,278.47,rice
64,42,33,29.24,88.32,6.92,280.08,rice
91,56,49,28.63,71.65,6.46,218.74,rice
96,41,32,32.31,79.54,5.81,191.09,rice
71,43,31,20.58,78.55,6.0,248.36,rice
88,55,39,20.35,84.43,5.92,167.72,rice
70,58,53,31.03,84.1,5.92,176.62,rice
68,53,32,34.86,72.38,6.06,266.46,rice
83,52,59,28.43,67.16,6.52,260.99,rice
94,38,59,33.54,75.16,6.74,198.01,rice
78,46,33,20.16,87.16,5.64,197.9,rice
73,49,48,27.4,62.5,5.64,240.37,rice
80,33,50,31.87,83.69,5.64,224.16,rice
98,43,55,26.62,86.63,6.03,167.56,rice
71,38,39,32.55,86.01,6.76,213.91,rice
99,39,38,32.33,81.19,5.62,162.73,rice
78,37,45,32.95,86.41,5.86,286.15,rice
63,33,35,30.62,74.45,6.07,255.76,rice
69,55,48,21.67,74.78,5.52,220.3,rice
79,57,37,21.76,79.48,6.62,237.51,rice
84,53,30,23.35,88.9,5.52,295.48,rice
80,45,51,33.87,87.57,5.88,254.31,rice
77,44,38,23.25,68.83,6.99,254.54,rice
62,45,52,20.68,68.43,6.93,283.54,rice
71,53,57,25.03,65.09,6.47,208.24,rice
87,57,34,34.62,89.59,6.55,230.41,rice
92,50,49,29.04,68.13,5.7,161.43,rice
65,47,48,30.89,78.4,6.13,289.91,rice
64,52,53,25.65,84.32,6.98,172.56,rice
80,55,54,34.55,85.26,6.76,220.3,rice
94,30,50,20.85,85.94,6.72,299.96,rice
97,32,50,28.78,81.78,6.64,206.68,rice
80,43,38,21.94,88.62,6.41,184.3,rice
99,31,57,24.03,60.67,6.25,221.43,rice
62,56,47,32.78,76.56,6.34,281.5,rice
76,45,44,26.31,83.54,6.46,270.76,rice
98,35,57,34.71,78.24,6.45,233.22,rice
93,49,54,27.71,83.51,6.09,243.31,rice
76,34,58,22.21,87.8,6.24,188.74,rice
83,34,31,29.31,70.42,5.81,236.95,rice
70,48,44,21.93,63.84,5.73,170.82,rice
67,53,57,29.84,60.29,7.25,101.52,maize
91,67,78,21.27,51.02,5.84,77.86,maize
81,70,55,20.05,61.52,5.91,86.43,maize
73,75,62,23.47,52.31,6.46,118.78,maize
89,60,65,19.04,56.92,7.11,124.83,maize
74,64,73,26.24,65.46,6.24,96.25,maize
85,63,76,22.29,67.83,7.29,101.17,maize
77,75,55,27.05,56.06,6.04,87.73,maize
69,56,74,32.29,52.23,6.57,73.32,maize
72,69,74,29.54,69.73,6.5,58.69,maize
81,51,64,30.67,60.79,5.76,78.38,maize
65,69,75,28.33,56.11,6.5,83.03,maize
92,70,71,21.83,59.13,6.48,135.08,maize
89,73,72,32.32,51.29,5.54,119.7,maize
83,55,51,27.79,72.93,5.51,147.51,maize
89,73,55,29.37,73.23,6.61,107.16,maize
64,55,75,23.5,60.64,6.52,74.24,maize
60,75,63,22.91,64.53,5.81,98.11,maize
62,50,55,23.72,53.36,5.63,149.0,maize
72,57,51,19.49,53.47,5.51,61.67,maize
74,73,55,25.0,58.72,7.36,133.06,maize
73,70,73,34.85,55.13,6.26,142.64,maize
81,77,78,20.38,69.88,5.9,66.37,maize
80,54,54,22.01,65.84,7.32,81.62,maize
84,67,57,25.68,67.84,7.3,112.41,maize
92,72,64,27.82,58.88,6.28,103.19,maize
99,57,68,27.23,60.79,6.17,123.05,maize
74,64,78,26.42,68.54,6.65,149.77,maize
92,78,54,31.24,53.58,5.91,121.41,maize
64,76,59,23.82,70.53,5.72,134.65,maize
83,69,73,26.54,63.5,6.47,90.9,maize
61,76,68,29.8,63.57,6.0,84.57,maize
70,79,59,23.82,55.68,6.35,78.79,maize
71,75,62,20.36,52.52,6.01,122.61,maize
71,61,53,33.62,69.75,5.55,115.14,maize
87,75,58,25.21,68.41,7.37,142.56,maize
82,50,63,22.01,54.14,5.87,133.75,maize
60,71,72,21.87,65.2,6.26,124.42,maize
69,69,74,18.08,58.34,6.3,103.74,maize
70,55,51,25.92,62.02,7.34,108.71,maize
83,74,56,20.81,50.85,6.12,128.05,maize
81,75,77,21.62,62.88,7.45,95.9,maize
79,71,71,19.45,74.92,6.5,109.54,maize
72,79,72,25.26,69.99,6.2,96.82,maize
88,79,65,27.6,51.64,7.05,95.33,maize
61,71,77,26.18,62.43,7.03,60.3,maize
67,78,72,34.08,59.33,6.04,114.4,maize
92,72,72,20.65,67.9,6.82,52.71,maize
62,73,72,29.42,50.49,5.71,129.99,maize
62,68,50,27.46,68.02,7.11,148.87,maize
91,73,63,32.11,59.93,6.84,70.5,maize
90,72,65,19.48,65.83,6.97,134.81,maize
78,53,78,25.16,72.32,7.13,84.18,maize
61,52,72,18.58,70.77,6.19,127.38,maize
68,51,70,23.01,73.71,7.03,64.01,maize
69,79,73,34.75,61.78,5.86,98.48,maize
76,63,58,27.21,65.84,6.02,63.94,maize
63,75,75,33.31,67.28,6.87,132.26,maize
80,59,53,26.47,51.68,6.31,99.75,maize
71,72,70,18.19,53.42,7.3,137.39,maize
99,51,61,28.76,62.36,6.65,133.81,maize
80,77,79,26.82,51.17,5.83,123.8,maize
95,68,75,19.16,70.93,6.37,141.55,maize
98,57,52,34.14,59.92,7.41,63.5,maize
92,75,53,27.18,54.05,7.18,134.64,maize
93,58,75,26.06,58.61,6.2,91.28,maize
99,59,74,22.19,70.48,7.1,119.47,maize
89,55,51,19.75,57.86,7.11,146.21,maize
76,59,74,25.58,54.63,6.58,137.29,maize
67,70,66,29.2,67.31,7.2,74.97,maize
84,61,64,29.78,51.29,6.84,54.42,maize
75,56,66,21.07,64.2,7.33,53.39,maize
66,58,68,33.71,74.28,7.39,97.42,maize
89,69,56,25.74,63.06,6.79,115.02,maize
83,52,61,20.05,51.92,6.89,83.99,maize
82,61,56,23.36,63.49,7.08,81.88,maize
77,50,65,25.26,71.92,6.34,96.19,maize
93,79,76,32.87,63.22,7.38,129.88,maize
98,63,69,18.9,52.21,5.58,97.98,maize
75,73,61,34.73,69.21,6.34,92.14,maize
64,50,79,18.06,61.68,6.09,135.28,maize
77,79,54,18.72,50.45,7.48,92.78,maize
83,53,61,34.26,69.95,6.02,108.86,maize
98,73,63,28.21,72.59,7.48,124.34,maize
63,76,57,34.03,66.24,6.72,101.27,maize
69,60,51,24.53,50.92,7.41,132.62,maize
64,54,71,34.47,72.09,7.36,149.49,maize
94,67,67,29.83,53.85,7.13,72.44,maize
84,58,53,27.86,52.29,7.25,76.56,maize
87,78,58,18.75,71.3,5.57,82.91,maize
84,54,60,19.48,60.21,6.25,75.98,maize
64,65,75,27.05,74.05,5.72,139.45,maize
72,66,67,26.42,62.01,6.68,132.47,maize
99,51,57,27.62,56.68,7.26,129.74,maize
99,77,50,20.67,54.01,6.17,73.87,maize
95,76,55,21.22,72.04,7.42,96.55,maize
90,72,59,20.19,58.38,6.99,66.08,maize
95,51,63,30.86,56.47,5.89,58.41,maize
86,66,58,28.74,56.5,6.77,104.0,maize
94,65,55,22.82,50.46,6.36,134.01,maize
47,77,64,28.98,16.67,7.87,78.15,chickpea
37,53,76,17.5,34.05,7.42,63.15,chickpea
41,75,73,15.69,36.66,7.95,97.82,chickpea
23,76,52,23.92,23.97,6.13,87.51,chickpea
34,64,68,18.79,14.03,6.32,62.8,chickpea
23,66,52,21.77,18.25,7.59,78.56,chickpea
39,51,64,25.21,31.02,6.55,96.56,chickpea
31,73,77,25.97,37.65,7.71,97.52,chickpea
38,74,54,29.76,24.64,7.79,46.1,chickpea
48,52,66,24.78,23.58,7.73,63.12,chickpea
27,77,63,18.06,16.37,6.31,61.76,chickpea
37,69,56,24.39,17.41,6.07,94.46,chickpea
22,69,63,21.93,14.03,7.2,72.51,chickpea
39,53,58,18.01,26.78,6.13,70.74,chickpea
40,51,73,21.5,39.59,6.3,62.52,chickpea
49,67,63,29.62,32.77,7.31,82.99,chickpea
47,55,58,15.59,26.49,6.21,46.94,chickpea
44,63,64,22.48,30.07,7.4,69.18,chickpea
37,77,50,22.77,16.28,6.7,32.32,chickpea
39,75,71,19.83,39.41,6.4,78.52,chickpea
34,51,59,17.51,16.72,7.27,79.45,chickpea
25,58,55,24.25,29.94,6.6,95.46,chickpea
27,67,77,27.03,22.83,7.63,35.61,chickpea
39,65,53,23.96,34.38,6.96,32.85,chickpea
47,59,63,16.22,15.57,6.49,41.17,chickpea
32,68,75,19.94,26.22,7.49,91.03,chickpea
40,72,68,17.43,14.54,7.31,53.26,chickpea
43,58,76,24.75,19.19,7.36,35.05,chickpea
34,50,56,21.94,36.58,7.45,81.99,chickpea
39,54,53,26.03,33.96,7.01,68.03,chickpea
38,58,53,15.44,24.28,7.21,71.84,chickpea
23,55,56,19.15,29.4,7.82,44.75,chickpea
32,67,57,27.54,20.13,7.55,58.37,chickpea
49,72,59,18.56,39.26,6.36,89.81,chickpea
32,58,79,16.46,24.53,7.19,70.56,chickpea
39,51,56,17.45,24.17,7.94,48.07,chickpea
24,54,50,26.6,17.4,7.94,61.77,chickpea
30,59,52,21.63,22.6,6.9,76.86,chickpea
28,50,54,18.73,30.05,7.41,41.69,chickpea
39,77,74,24.08,23.28,7.07,84.73,chickpea
43,61,73,23.78,36.58,6.41,37.83,chickpea
37,63,51,16.84,20.01,6.1,74.8,chickpea
22,55,54,29.01,22.22,7.01,32.91,chickpea
29,69,70,22.2,31.84,6.03,52.62,chickpea
48,74,56,21.82,27.41,6.98,76.68,chickpea
39,72,79,19.62,32.32,6.4,77.14,chickpea
37,70,50,25.96,18.06,6.47,97.43,chickpea
34,51,50,27.57,38.56,7.37,64.8,chickpea
36,75,57,27.97,33.98,6.23,85.69,chickpea
23,50,50,18.24,31.13,6.79,75.59,chickpea
45,79,77,17.39,29.73,6.64,90.65,chickpea
44,65,62,26.74,28.74,7.48,91.5,chickpea
48,55,63,28.89,25.39,7.8,91.45,chickpea
42,68,62,27.27,17.13,7.09,30.4,chickpea
34,50,61,24.15,28.65,6.76,68.39,chickpea
20,66,66,21.67,14.38,7.17,41.79,chickpea
33,59,51,21.95,23.87,7.73,66.34,chickpea
25,77,70,27.21,16.83,6.3,66.86,chickpea
34,61,53,24.12,33.89,7.63,80.27,chickpea
46,60,62,27.34,25.2,7.79,34.99,chickpea
34,74,53,28.91,15.57,7.87,54.61,chickpea
21,63,78,24.26,27.6,7.34,95.07,chickpea
47,52,57,19.67,29.87,7.43,49.08,chickpea
23,75,74,22.84,17.2,7.72,85.98,chickpea
26,73,66,23.51,20.67,7.93,63.85,chickpea
26,71,50,20.6,27.69,6.22,30.18,chickpea
41,71,70,28.26,19.93,6.42,72.77,chickpea
45,74,78,28.59,34.02,7.11,47.9,chickpea
23,67,73,27.34,25.02,7.34,36.69,chickpea
23,59,50,21.36,17.98,6.47,90.85,chickpea
20,72,70,16.44,14.61,7.28,72.5,chickpea
30,59,58,20.86,29.46,6.99,99.14,chickpea
22,56,70,25.14,25.51,6.89,80.72,chickpea
30,56,73,16.93,16.71,7.45,70.49,chickpea
26,62,63,18.97,30.78,7.19,58.08,chickpea
20,76,55,20.32,15.81,7.04,34.73,chickpea
24,61,76,24.6,21.05,7.19,77.61,chickpea
31,78,75,20.0,31.41,7.99,76.33,chickpea
36,52,51,21.7,22.67,7.16,36.21,chickpea
24,62,78,25.35,19.22,7.07,36.77,chickpea
44,72,65,15.02,21.82,7.96,63.24,chickpea
49,62,72,20.99,17.96,7.98,94.89,chickpea
31,50,74,25.07,16.42,6.51,85.15,chickpea
20,70,65,22.6,18.14,6.13,38.24,chickpea
42,67,62,20.4,16.28,7.87,68.77,chickpea
30,52,69,19.2,38.5,7.75,41.32,chickpea
41,60,64,29.88,36.14,6.42,95.14,chickpea
29,55,67,24.42,31.53,7.06,80.5,chickpea
22,65,56,19.57,16.1,6.81,42.15,chickpea
21,52,67,29.36,28.9,7.87,70.26,chickpea
48,71,50,28.84,26.66,7.21,83.54,chickpea
48,69,52,29.29,35.46,7.33,38.52,chickpea
40,51,53,17.03,39.04,7.1,97.61,chickpea
47,62,63,28.14,21.22,7.7,30.02,chickpea
30,79,51,24.75,17.95,6.12,84.65,chickpea
29,74,51,22.27,33.61,7.24,50.81,chickpea
42,68,58,17.13,17.16,6.61,37.07,chickpea
35,65,77,24.27,30.46,6.46,46.29,chickpea
47,69,78,24.36,27.7,6.85,39.15,chickpea
39,79,78,20.31,27.66,6.96,42.38,chickpea
48,71,54,15.17,35.48,6.22,82.3,kidneybeans
34,70,59,25.21,25.97,6.43,118.82,kidneybeans
45,67,62,29.64,51.66,6.94,138.54,kidneybeans
22,66,77,24.69,38.97,5.9,97.91,kidneybeans
49,53,51,19.87,48.97,6.21,125.11,kidneybeans
39,78,55,20.89,58.16,5.7,92.26,kidneybeans
43,58,58,25.32,36.38,5.88,180.9,kidneybeans
45,77,57,21.92,44.76,6.49,187.41,kidneybeans
27,66,64,28.34,36.93,6.82,92.68,kidneybeans
31,50,72,25.2,19.75,5.63,165.96,kidneybeans
32,68,73,16.58,19.49,6.26,126.51,kidneybeans
33,53,60,29.56,57.58,6.68,122.58,kidneybeans
45,54,54,24.9,50.1,5.9,82.51,kidneybeans
35,77,66,19.43,50.31,6.44,125.83,kidneybeans
37,52,66,18.83,28.95,5.6,195.18,kidneybeans
42,79,67,19.83,23.26,6.21,93.67,kidneybeans
32,70,65,27.18,45.57,5.69,120.59,kidneybeans
27,67,72,16.43,33.79,6.33,126.64,kidneybeans
37,71,69,18.61,23.1,5.8,186.43,kidneybeans
43,70,52,25.07,31.31,6.82,111.01,kidneybeans
34,67,70,26.33,37.34,6.76,167.42,kidneybeans
26,72,61,15.81,31.44,6.63,112.32,kidneybeans
47,78,62,17.47,23.53,6.59,178.13,kidneybeans
34,68,72,27.61,48.78,6.31,150.84,kidneybeans
43,52,71,23.48,46.93,6.81,156.35,kidneybeans
24,64,57,21.92,18.39,5.87,167.18,kidneybeans
20,53,57,17.91,54.95,6.49,117.31,kidneybeans
40,63,56,24.22,46.89,6.06,144.64,kidneybeans
23,71,59,26.41,19.48,6.62,104.3,kidneybeans
21,70,74,25.18,49.76,6.76,136.44,kidneybeans
38,54,75,20.52,36.84,6.58,186.34,kidneybeans
22,75,54,24.95,18.08,5.77,83.49,kidneybeans
33,53,77,26.91,21.91,6.38,137.72,kidneybeans
33,52,73,16.56,27.47,6.55,86.34,kidneybeans
43,51,79,27.07,29.33,6.74,139.79,kidneybeans
33,68,71,25.43,49.33,6.97,105.18,kidneybeans
23,68,65,20.6,23.14,6.6,108.3,kidneybeans
39,66,76,27.02,50.2,6.6,115.93,kidneybeans
20,66,55,24.54,51.0,5.68,129.19,kidneybeans
33,77,60,26.1,57.91,5.8,147.87,kidneybeans
29,67,52,15.39,19.02,6.75,112.77,kidneybeans
36,76,62,26.74,20.36,6.78,107.06,kidneybeans
24,78,54,22.21,36.28,6.91,164.72,kidneybeans
45,53,79,25.92,38.85,6.16,167.54,kidneybeans
25,58,71,18.38,23.52,6.1,190.71,kidneybeans
44,53,70,16.03,20.4,5.92,111.4,kidneybeans
22,72,77,26.81,58.94,6.06,131.47,kidneybeans
44,62,55,15.98,38.48,5.55,87.52,kidneybeans
45,60,74,20.19,31.24,6.66,90.37,kidneybeans
34,67,73,23.22,23.38,6.82,127.21,kidneybeans
45,61,73,18.9,48.69,6.97,110.78,kidneybeans
22,72,75,17.87,32.21,5.96,193.64,kidneybeans
31,74,78,16.71,24.35,5.84,110.12,kidneybeans
26,71,72,23.18,59.18,5.84,128.48,kidneybeans
30,58,56,25.62,40.83,5.62,135.0,kidneybeans
20,59,70,17.11,45.9,5.82,91.71,kidneybeans
35,65,68,24.76,40.91,5.59,141.5,kidneybeans
47,76,59,29.67,51.35,6.25,120.77,kidneybeans
40,69,75,19.95,49.78,6.28,104.59,kidneybeans
40,64,71,17.42,28.73,6.92,147.22,kidneybeans
47,75,66,15.41,20.74,6.2,189.11,kidneybeans
20,59,69,26.98,33.62,6.18,127.69,kidneybeans
30,68,54,29.47,26.56,6.28,114.46,kidneybeans
47,58,53,19.15,31.12,6.46,103.5,kidneybeans
33,57,67,17.37,47.23,6.69,118.01,kidneybeans
22,62,52,28.46,25.09,6.26,151.77,kidneybeans
42,57,54,25.99,52.46,5.97,175.83,kidneybeans
33,71,68,28.24,51.75,6.26,196.06,kidneybeans
32,72,70,25.02,44.66,5.75,185.83,kidneybeans
46,72,76,25.3,21.91,5.54,178.76,kidneybeans
45,79,79,25.97,25.87,6.79,178.29,kidneybeans
37,55,68,26.39,59.5,6.85,158.2,kidneybeans
28,70,73,22.41,52.79,6.0,100.85,kidneybeans
40,77,73,16.31,48.2,6.13,188.64,kidneybeans
38,64,67,26.23,45.35,6.43,122.28,kidneybeans
24,61,60,27.66,28.67,5.55,168.72,kidneybeans
21,51,52,25.29,20.92,5.76,182.69,kidneybeans
47,50,57,16.09,21.24,6.01,183.97,kidneybeans
34,55,64,18.19,19.39,5.96,158.38,kidneybeans
33,53,61,18.49,51.91,5.59,187.86,kidneybeans
38,50,55,25.06,41.54,5.67,133.65,kidneybeans
25,63,53,20.72,23.41,6.12,176.28,kidneybeans
46,69,66,15.63,49.08,6.88,113.6,kidneybeans
35,74,68,29.59,52.69,6.55,180.74,kidneybeans
32,56,63,25.9,30.8,6.74,113.78,kidneybeans
34,69,63,18.28,23.05,5.6,111.6,kidneybeans
28,50,73,19.26,52.63,5.61,107.16,kidneybeans
33,79,58,15.72,55.92,6.78,160.14,kidneybeans
33,71,58,29.84,44.3,6.3,180.58,kidneybeans
35,79,61,23.74,59.81,6.78,142.57,kidneybeans
24,65,69,18.3,38.51,6.61,143.03,kidneybeans
28,53,52,27.44,54.92,6.36,142.09,kidneybeans
34,57,61,28.66,37.51,5.71,120.9,kidneybeans
39,78,71,24.11,44.51,6.39,164.32,kidneybeans
23,72,56,16.98,27.84,6.68,196.49,kidneybeans
31,51,73,24.01,49.23,6.26,156.09,kidneybeans
25,71,74,15.04,19.67,6.41,188.89,kidneybeans
38,77,59,29.57,31.92,6.22,103.53,kidneybeans
22,65,62,22.11,42.82,6.31,182.5,kidneybeans
36,79,57,15.55,22.54,6.01,176.31,kidneybeans
36,79,59,24.4,67.27,6.1,72.19,pigeonpeas
28,66,73,27.97,65.19,6.36,64.15,pigeonpeas
30,63,68,26.76,67.18,5.75,114.58,pigeonpeas
38,61,57,33.61,58.56,6.41,103.31,pigeonpeas
32,75,56,34.31,58.86,6.79,60.29,pigeonpeas
49,62,64,20.89,54.15,6.53,76.03,pigeonpeas
49,50,53,25.54,34.84,6.13,165.16,pigeonpeas
20,61,75,24.82,59.99,6.12,150.45,pigeonpeas
29,51,68,28.9,30.41,6.45,187.86,pigeonpeas
44,56,77,22.58,55.52,6.61,134.2,pigeonpeas
22,65,79,22.13,30.47,6.13,101.31,pigeonpeas
20,72,62,25.99,66.41,6.71,90.25,pigeonpeas
44,72,73,29.78,63.82,6.54,120.19,pigeonpeas
22,62,72,28.14,64.47,6.39,91.68,pigeonpeas
22,52,77,28.69,60.37,5.65,184.55,pigeonpeas
45,76,74,20.41,45.72,6.29,131.64,pigeonpeas
47,54,56,22.14,65.6,6.02,81.62,pigeonpeas
48,59,77,25.68,30.27,6.08,170.84,pigeonpeas
30,66,66,30.16,54.23,6.05,90.5,pigeonpeas
31,55,50,21.58,36.69,6.96,91.99,pigeonpeas
43,76,52,34.46,45.37,5.56,64.33,pigeonpeas
46,59,68,20.35,60.25,6.19,100.49,pigeonpeas
24,75,78,25.56,44.99,6.21,122.18,pigeonpeas
37,77,58,34.76,41.54,6.94,114.53,pigeonpeas
32,65,71,28.12,36.17,6.33,135.84,pigeonpeas
41,70,76,32.58,44.25,6.74,159.26,pigeonpeas
45,66,70,25.14,40.81,6.95,138.08,pigeonpeas
38,50,77,28.74,69.99,5.73,174.35,pigeonpeas
23,68,78,34.91,65.21,6.44,139.71,pigeonpeas
45,68,54,30.96,35.92,6.78,159.52,pigeonpeas
41,68,76,33.64,58.89,6.3,181.8,pigeonpeas
40,71,60,28.24,32.31,6.52,125.35,pigeonpeas
45,61,55,22.23,48.51,6.97,127.68,pigeonpeas
25,72,75,27.37,50.9,6.34,121.77,pigeonpeas
46,60,74,25.43,59.03,6.84,123.84,pigeonpeas
47,68,64,31.47,52.94,6.93,88.07,pigeonpeas
28,57,69,20.05,55.61,5.95,93.65,pigeonpeas
25,52,76,20.46,68.86,5.83,162.76,pigeonpeas
37,71,78,20.46,64.88,6.29,148.56,pigeonpeas
40,65,61,32.07,41.15,5.82,194.04,pigeonpeas
34,52,68,23.01,69.79,5.63,60.32,pigeonpeas
22,50,53,32.51,59.62,5.71,165.48,pigeonpeas
24,77,58,31.49,63.84,6.42,72.4,pigeonpeas
28,51,63,24.21,57.5,5.54,102.86,pigeonpeas
27,52,63,32.12,67.91,5.61,193.72,pigeonpeas
46,55,65,30.23,34.52,6.76,93.91,pigeonpeas
25,77,51,21.09,46.11,5.94,92.53,pigeonpeas
26,52,57,24.39,36.09,5.9,63.08,pigeonpeas
26,70,56,23.39,55.62,6.97,144.49,pigeonpeas
40,68,74,31.39,37.51,6.58,181.37,pigeonpeas
29,59,53,29.37,32.87,6.52,93.87,pigeonpeas
47,63,69,24.55,41.6,6.34,76.79,pigeonpeas
46,72,57,24.07,49.87,5.93,78.74,pigeonpeas
21,60,58,31.23,42.7,5.5,131.56,pigeonpeas
45,67,71,30.6,32.51,6.76,60.53,pigeonpeas
24,61,74,21.24,67.24,6.74,78.19,pigeonpeas
28,76,51,24.7,61.56,6.84,120.73,pigeonpeas
36,55,65,34.04,57.01,5.67,65.92,pigeonpeas
48,50,77,29.49,58.15,5.51,83.37,pigeonpeas
40,60,62,22.74,41.14,5.69,154.66,pigeonpeas
44,79,58,21.58,61.27,6.47,66.75,pigeonpeas
24,71,65,25.78,64.63,6.21,75.54,pigeonpeas
33,52,61,20.04,64.36,5.78,137.29,pigeonpeas
23,51,65,25.57,64.79,6.6,150.68,pigeonpeas
23,62,72,29.12,41.81,5.7,151.23,pigeonpeas
37,52,77,34.62,32.09,6.52,125.54,pigeonpeas
20,53,70,24.31,44.71,5.59,75.61,pigeonpeas
29,70,61,21.5,57.52,5.86,187.55,pigeonpeas
21,71,66,21.87,46.55,6.24,116.6,pigeonpeas
36,61,71,24.0,58.99,6.82,65.83,pigeonpeas
45,55,50,24.68,60.96,6.66,132.98,pigeonpeas
45,61,76,28.63,33.06,6.07,111.48,pigeonpeas
24,55,56,20.26,41.73,6.66,132.51,pigeonpeas
39,74,79,28.56,52.72,6.49,136.77,pigeonpeas
23,64,68,20.35,65.94,6.67,169.25,pigeonpeas
27,62,71,22.28,65.98,6.57,191.23,pigeonpeas
21,77,62,31.21,48.95,5.59,194.09,pigeonpeas
28,72,54,27.96,56.04,6.47,138.58,pigeonpeas
41,58,66,23.38,37.83,5.71,147.14,pigeonpeas
29,76,62,24.14,69.27,6.29,186.9,pigeonpeas
47,60,60,32.15,67.9,6.01,161.5,pigeonpeas
44,64,58,30.35,57.6,6.9,129.62,pigeonpeas
28,60,73,22.01,68.32,6.29,93.87,pigeonpeas
48,75,70,34.43,54.84,6.89,166.52,pigeonpeas
33,59,63,26.49,31.76,5.75,122.38,pigeonpeas
31,62,60,30.12,35.48,6.99,133.81,pigeonpeas
47,61,55,21.63,55.46,6.25,116.93,pigeonpeas
46,75,79,28.54,40.38,6.16,143.1,pigeonpeas
42,55,71,20.2,30.57,6.74,162.5,pigeonpeas
48,51,66,34.4,50.86,6.97,166.02,pigeonpeas
32,59,57,31.6,42.4,5.85,124.15,pigeonpeas
36,76,69,28.48,60.87,6.25,61.69,pigeonpeas
29,53,54,25.65,52.08,6.71,66.45,pigeonpeas
29,77,57,32.72,59.15,5.64,120.02,pigeonpeas
44,78,52,33.42,30.02,6.85,81.53,pigeonpeas
42,76,51,34.9,31.8,6.64,112.04,pigeonpeas
39,69,70,20.49,32.31,6.17,98.58,pigeonpeas
36,67,62,23.77,52.56,6.04,151.93,pigeonpeas
37,50,75,33.16,68.97,5.54,177.57,pigeonpeas
28,58,54,20.54,37.01,6.8,99.55,pigeonpeas
48,33,34,34.07,44.72,6.86,46.32,mothbeans
38,48,42,28.94,56.29,7.89,74.63,mothbeans
40,43,33,35.52,56.11,7.09,40.22,mothbeans
27,38,45,28.64,54.93,6.41,33.56,mothbeans
23,55,44,36.31,41.1,6.19,71.34,mothbeans
48,33,31,34.83,37.34,7.65,55.78,mothbeans
36,52,50,27.95,39.88,6.08,36.39,mothbeans
49,38,54,32.27,27.15,6.72,66.16,mothbeans
27,36,36,28.26,35.64,6.46,30.07,mothbeans
34,33,57,28.34,50.61,7.28,50.8,mothbeans
32,52,55,28.24,36.39,7.43,70.84,mothbeans
33,54,59,28.72,59.98,6.81,41.02,mothbeans
